________________________________________________________________________________
ThoughtTreasure Statistics
________________________________________________________________________________
Lexical entries:
fea type       n    %  objs  /le    0    1  >=2 poly  infls i/le
___ ______ _____ ____ _____ ____ ____ ____ ____ ____ ______ ____
yN    word 10847 19.0 10038  0.9 18.5 73.4  8.1 10.0  22953  2.1
yN  phrase  5489  9.6  5638  1.0  0.0 97.7  2.3  2.3  11336  2.1
yN         16336 28.7 15676  1.0 12.3 81.5  6.2  7.0  34289  2.1
yA    word  2648  4.6  1547  0.6 51.9 40.7  7.4 15.5   8867  3.3
yA  phrase   256  0.4   277  1.1  0.0 92.6  7.4  7.4   1024  4.0
yA          2904  5.1  1824  0.6 47.3 45.3  7.4 14.1   9891  3.4
yV    word   734  1.3  1088  1.5 12.5 60.9 26.6 30.4  36758 50.1
yV  phrase   155  0.3   545  3.5  0.0 47.1 52.9 52.9   7905 51.0
yV           889  1.6  1633  1.8 10.3 58.5 31.2 34.8  44663 50.2
y     word 14783 25.9 13141  0.9 24.8 66.1  9.1 12.1  69318  4.7
y   phrase  6746 11.8  7080  1.0  4.1 91.9  4.0  4.2  21142  3.1
y          21529 37.8 20221  0.9 18.3 74.2  7.5  9.2  90460  4.2
y¸    word  3938  6.9  4018  1.0 25.9 56.9 17.2 23.2  19104  4.9
zN    word 14905 26.1 13701  0.9 20.6 70.1  9.3 11.7  31155  2.1
zN  phrase 12591 22.1 12823  1.0  0.0 98.3  1.7  1.7  25169  2.0
zN         27496 48.2 26524  1.0 11.2 83.0  5.8  6.5  56324  2.0
zA    word  3606  6.3  1943  0.5 51.4 44.2  4.3  8.9   3722  1.0
zA  phrase   511  0.9   545  1.1  0.0 93.5  6.5  6.5    511  1.0
zA          4117  7.2  2488  0.6 45.1 50.4  4.6  8.4   4233  1.0
zV    word  1084  1.9  1304  1.2 11.0 70.8 18.2 20.4   7866  7.3
zV  phrase   207  0.4   851  4.1  0.0 42.0 58.0 58.0   1510  7.3
zV          1291  2.3  2155  1.7  9.2 66.2 24.6 27.0   9376  7.3
z     word 20674 36.3 17740  0.9 26.6 64.6  8.8 12.0  43935  2.1
z   phrase 14801 26.0 15384  1.0  2.4 94.9  2.7  2.7  28682  1.9
z          35475 62.2 33124  0.9 16.5 77.3  6.3  7.5  72617  2.0
z¸    word  7192 12.6  7020  1.0 24.3 61.1 14.6 19.3  14329  2.0
      word 35457 62.2 30881  0.9 25.8 65.2  9.0 12.1 113253  3.2
    phrase 21547 37.8 22464  1.0  2.9 94.0  3.1  3.2  49824  2.3
           57004100.0 53345  0.9 17.2 76.1  6.7  8.1 163077  2.9
________________________________________________________________________________
Objects:
class                n    %   les  /o    0    1    2    3    4 asser   ISA
________________ _____ ____ _____ ___ ____ ____ ____ ____ ____ _____ _____
concept          27326100.0 54321 2.0 15.0 27.5 37.7  8.3 11.5 22518 29076
human-name        3161 11.6  6127 1.9  3.1  0.2 96.6  0.0  0.1  1659  3240
polity            1683  6.2  2425 1.4  2.1 72.8 15.4  4.1  5.5  4278  1784
holiday             48  0.2   128 2.7  0.0 16.7 41.7 14.6 27.1     5    67
eat-meal            39  0.1    83 2.1 46.2 12.8 12.8  5.1 23.1   663    56
eating-place        53  0.2   104 2.0  1.9 43.4 37.7  7.5  9.4    59    58
food              1323  4.8  2654 2.0  6.0 23.0 50.3 12.8  8.0   347  1385
object           23511 86.0 46568 2.0 11.3 29.5 40.0  8.4 10.9 21868 25808
abstract-object  12004 43.9 26307 2.2  5.6 28.1 46.8  7.5 12.1 15534 13256
media-object      2448  9.0  6193 2.5 10.1 32.5 29.2 10.8 17.4  2249  2920
theory            1332  4.9  4190 3.1 16.6 16.4 29.0 11.6 26.4   676  1664
protocol            22  0.1    76 3.5  0.0  9.1 22.7 22.7 45.5     4    23
mail                21  0.1    76 3.6 19.0 28.6  9.5 14.3 28.6    22    23
computer-program   392  1.4   632 1.6  0.0 62.0 23.2 12.0  2.8    96   425
operating-system   251  0.9   387 1.5  0.0 66.9 16.7 14.3  2.0    26   264
computer-language   63  0.2   118 1.9  0.0 33.3 54.0  7.9  4.8     3    68
AI-program          53  0.2    81 1.5  0.0 66.0 26.4  3.8  3.8    23    69
media-object-book   97  0.4   149 1.5  5.2 54.6 26.8  9.3  4.1   205   114
title               82  0.3   166 2.0  0.0 28.0 58.5  2.4 11.0    38    84
surname           1714  6.3  3386 2.0  1.3  0.1 98.5  0.0  0.1   561  1738
given-name        1419  5.2  2736 1.9  3.7  0.1 96.1  0.0  0.1  1076  1473
country            221  0.8   560 2.5  0.5 13.1 53.8 19.0 13.6  1408   229
country-subdivisi  178  0.7   359 2.0  5.6 29.2 43.3  9.6 12.4  1079   212
city              1028  3.8  1063 1.0  2.4 93.9  3.0  0.0  0.7  2625  1059
research-institut    7  0.0    14 2.0  0.0 28.6 42.9 28.6  0.0     4    10
educational-insti   86  0.3   229 2.7  0.0 18.6 31.4 24.4 25.6    55    87
political-system   176  0.6   339 1.9  1.7 41.5 44.9  6.2  5.7   118   199
government-instit   50  0.2   115 2.3  0.0 14.0 60.0 16.0 10.0    23    55
human-occupation   533  2.0  1372 2.6  0.2 24.0 39.8 20.3 15.8   539   562
diploma             61  0.2   167 2.7  3.3 26.2 16.4 24.6 29.5    72    61
legal-concept      109  0.4   283 2.6  0.0 16.5 47.7 18.3 17.4    52   133
intellectual-prop    7  0.0    18 2.6  0.0 14.3 42.9 28.6 14.3     1     8
financial-market    34  0.1    99 2.9  0.0 14.7 41.2 17.6 26.5    16    35
financial-instrum  214  0.8   432 2.0 25.7 14.0 27.6 18.2 14.5   211   238
metaphysical-conc   15  0.1    44 2.9  0.0  0.0 53.3 26.7 20.0     3    17
religion            61  0.2   122 2.0 11.5 19.7 42.6 16.4  9.8    58    67
